scheme_name,category
Tata Silver E T F FoF Reg (G),Others: FoFs Domestic
Aditya Birla SL Silver E T F FOF Reg (G),Others: FoFs Domestic
SBI Silver E T F FoF Reg (G),Others: FoFs Domestic
HDFC Silver E T F FoF Reg (G),Others: FoFs Domestic
ICICI Pru SILVER E T F FoF (G),Others: FoFs Domestic
Axis Silver FoF Reg (G),Others: FoFs Domestic
UTI Silver E T F FoF Reg (G),Others: FoFs Domestic
Kotak Silver E T F FoF Reg (G),Others: FoFs Domestic
Nippon India Silver E T F FoF Reg (G),Others: FoFs Domestic
Tata Gold E T F FoF Reg (G),Others: FoFs Domestic
HSBC Multi Asset Active FOF Reg (G),Others: FoFs Domestic
Quantum Multi Asset Active FoF Reg (G),Others: FoFs Domestic
Nippon India Multi Asset Omni FoF Reg (G),Others: FoFs Domestic
Franklin India Income Plus Arbitrage Active FoF (G),Others: FoFs Domestic
Bandhan Multi-Asset Passive FOF (G),Others: FoFs Domestic
ICICI Pru Dynamic Asset Allocation Active FOF (G),Others: FoFs Domestic
Aditya Birla SL Aggressive Hybrid Omni FOF Reg (G),Others: FoFs Domestic
Axis Income Plus Arbitrage Active FOF (G),Others: FoFs Domestic
Aditya Birla SL Income plus Arbitrage Active FOF (G),Others: FoFs Domestic
Kotak Income Plus Arbitrage Omni FOF Reg (G),Others: FoFs Domestic
ICICI Pru Income plus Arbitrage Omni FOF (G),Others: FoFs Domestic
Bandhan Income Plus Arbitrage Active FOF Reg (G),Others: FoFs Domestic
Franklin India Dynamic Asset Allocation Active Fund of Funds (G),Others: FoFs Domestic
HSBC Income Plus Arbitrage Active FOF Reg (G),Others: FoFs Domestic
HDFC Income Plus Arbitrage Active FOF (G),Others: FoFs Domestic
DSP Income Plus Arbitrage Omni FoF Reg (G),Others: FoFs Domestic
UTI Income Plus Arbitrage Active FoF (G),Others: FoFs Domestic
SBI Income Plus Arbitrage Active FoF (G),Others: FoFs Domestic
DSP Silver E T F FoF (G),Others: FoFs Domestic
Baroda BNP Paribas Income Plus Arbitrage Active FOF Reg (G),Others: FoFs Domestic
Tata Income Plus Arbitrage Active FoF Reg (G),Others: FoFs Domestic
Groww Silver E T F FOF (G),Others: FoFs Domestic
Baroda BNP Paribas Multi Asset Active FoF Reg (G),Others: FoFs Domestic
Union Income Plus Arbitrage Active FoF (G),Others: FoFs Domestic
Nippon India Income Plus Arbitrage Active FoF Reg (G),Others: FoFs Domestic
Mirae Asset Income Plus Arbitrage Active FoF Reg (G),Others: FoFs Domestic
Edelweiss Income Plus Arbitrage Active FoF (G),Others: FoFs Domestic
Groww BSE Power E T F FOF (G),Others: FoFs Domestic
Union Diversified Equity All Cap Active FoF Reg (G),Others: FoFs Domestic
Invesco India Income Plus Arbitrage Active FoF (G),Others: FoFs Domestic
Kotak Gold Silver Passive FoF Reg (G),Others: FoFs Domestic
Axis Income Plus Arbitrage Passive FoF (G),Others: FoFs Domestic
Mahindra Manulife Income Plus Arbitrage Active FOF (G),Others: FoFs Domestic
Edelweiss Silver E T F FoF (G),Others: FoFs Domestic
Axis Income Plus Arbitrage Passive FoF IDCW,Others: FoFs Domestic
Sundaram Income Plus Arbitrage Active FoF (G),Others: FoFs Domestic
DSP World Gold Mining Overseas Equity Omni FoF Reg (G),Equity: Global
DSP World Mining Overseas Equity Omni FoF Reg (G),Equity: Global
ICICI Pru Strategic Metal and Energy Equity FoF Reg (G),Equity: Global
HSBC Brazil Fund (G),Equity: Global
Nippon India Taiwan Equity Fund Reg (G),Equity: Global
HSBC Global Emerging Markets Fund (G),Equity: Global
Mirae Asset Global Electric & Autonomous Vehicles Equity Passive FOF Reg (G),Equity: Global
Edelweiss Emerging Markets Opp Equity Offshore Fund Reg (G),Equity: Global
Edelweiss Europe Dynamic Equity Off-shore Fund Reg (G),Equity: Global
Kotak Global Emerging Market Overseas Equity Omni FOF (G),Equity: Global
Axis Greater China Equity FoF Reg (G),Equity: Global
Invesco India Invesco Pan European Equity FoF Reg (G),Equity: Global
Edelweiss Greater China Equity Off-shore Fund Reg (G),Equity: Global
HSBC Asia Pacific (Ex Japan) Dividend Yield Reg (G),Equity: Global
DSP Global Clean Energy Overseas Equity Omni FoF Reg (G),Equity: Global
Mirae Asset Hang Seng TECH E T F FOF Reg (G),Equity: Global
Motilal Oswal Developed Market Ex US E T Fs Overseas Equity Passive FoF Reg (G),Equity: Global
Mirae Asset Global X Artificial Intelligence & Technology E T F FoF Reg (G),Equity: Global
Aditya Birla SL International Equity Plan A Reg (G),Equity: Global
Franklin Asian Equity Fund (G),Equity: Global
ICICI Pru Global Advantage Fund (FOF) Reg (G),Equity: Global
DSP US Specific Equity Omni FoF Reg (G),Equity: Global
Mahindra Manulife Asia Pacific REITs FoF Reg (G),Equity: Global
PGIM India Emerging Markets Equity FoF (G),Equity: Global
SBI US Specific Equity Active FoF Reg (G),Equity: Global
DSP Global Innovation Overseas Equity Omni FoF Reg (G),Equity: Global
Nippon India Japan Equity Fund (G),Equity: Global
HDFC Developed World Overseas Equity Passive FOF Reg (G),Equity: Global
Navi US Nasdaq 100 FoF Reg (G),Equity: Global
Invesco India Invesco EQQQ NASDAQ-100 E T F FoF Reg (G),Equity: Global
Kotak US Specific Equity Passive FOF Reg (G),Equity: Global
Aditya Birla SL US Equity Passive FOF Reg (G),Equity: Global
ICICI Pru NASDAQ 100 Index Fund Reg (G),Equity: Global
Axis US Specific Equity Passive FOF Reg (G),Equity: Global
Invesco India Invesco Global Equity Income FoF Reg (G),Equity: Global
Axis Global Equity Alpha Fund of Fund Reg (G),Equity: Global
Invesco India Invesco Global Consumer Trends Fund of Fund Reg (G),Equity: Global
Mirae Asset S&P 500 Top 50 E T F FoF (G),Equity: Global
Kotak International REIT Overseas Equity Omni FOF Reg (G),Equity: Global
Mirae Asset NYSE FANG+ E T F FoF Reg (G),Equity: Global
NAVI US Total Stock Market FoF Reg (G),Equity: Global
Edelweiss Asean Equity Off-shore Fund Reg (G),Equity: Global
Baroda BNP Paribas Aqua FoF Reg (G),Equity: Global
Motilal Oswal S&P 500 Index Fund Reg (G),Equity: Global
ICICI Pru US Bluechip Equity Fund Reg (G),Equity: Global
Sundaram Global Brand Theme-Equity Active FOF Reg (G),Equity: Global
Kotak Global Innovation Overseas Equity Omni FOF Reg (G),Equity: Global
Axis Global Innovation FoF Reg (G),Equity: Global
Edelweiss US Technology Equity Fund of Fund Reg (G),Equity: Global
ICICI Pru Global Stable Equity Reg (G),Equity: Global
Aditya Birla SL Global Excellence Equity Fund Of Fund Ret (G),Equity: Global
Edelweiss US Value Equity Offshore Fund Reg (G),Equity: Global
Bandhan US specific Equity Active FOF Reg (G),Equity: Global
HSBC Global Equity Climate Change FoF Reg (G),Equity: Global
PGIM India Global Select Real Estate Securities Fund of Fund Reg (G),Equity: Global
Nippon India US Equity Opportunities Fund (G),Equity: Global
Motilal Oswal Nasdaq 100 FOF (G),Equity: Global
Aditya Birla SL Global Emerging Opportunities Fund (G),Equity: Global
Franklin U.S. Opportunities Equity Active FoF (G),Equity: Global
Franklin India Feeder Franklin European Growth Fund (G),Equity: Global
PGIM India Global Equity Opportunities FoF (G),Equity: Global
Edelweiss Gold and Silver E T F FoF Reg (G),Gold: Gold Funds
Motilal Oswal Gold and Silver E T F FoF Reg (G),Gold: Gold Funds
Aditya Birla SL Gold Fund Reg (G),Gold: Gold Funds
Axis Gold Fund (G),Gold: Gold Funds
LIC MF Gold E T F Fund of Fund (G),Gold: Gold Funds
UTI Gold E T F FoF Reg (G),Gold: Gold Funds
HDFC Gold E T F FoF (G),Gold: Gold Funds
DSP Gold E T F Fund of Fund Reg (G),Gold: Gold Funds
SBI Gold Fund Reg (G),Gold: Gold Funds
Quantum Gold Saving Fund Reg (G),Gold: Gold Funds
Mirae Asset Gold E T F FoF Reg (G),Gold: Gold Funds
ICICI Pru Regular Gold Savings FOF Reg (G),Gold: Gold Funds
Invesco India Gold E T F Fund of Fund (G),Gold: Gold Funds
Kotak Gold Fund (G),Gold: Gold Funds
Quantum Gold (G),Gold: Gold Funds
Groww Gold E T F FOF Reg (G),Gold: Gold Funds
Nippon India Gold Savings Fund (G),Gold: Gold Funds
Union Gold E T F FoF Reg (G),Gold: Gold Funds
Baroda BNP Paribas Gold E T F FoF (G),Gold: Gold Funds
Mirae Asset Gold Silver Passive FoF (G),Gold: Gold Funds
Angel One Gold E T F FoF (G),Gold: Gold Funds
Axis Gold and Silver Passive FoF (G),Gold: Gold Funds
Motilal Oswal Nifty MidSmall Financial Services Index Fund Reg (G),Equity: Index
Kotak Nifty Financial Services Ex-Bank Index Fund Reg (G),Equity: Index
ICICI Pru Nifty200 Value 30 Index Fund Reg (G),Equity: Index
Motilal Oswal BSE Enhanced Value Index Fund Reg (G),Equity: Index
ICICI Pru Nifty Bank Index Fund (G),Equity: Index
DSP Nifty Bank Index Fund Reg (G),Equity: Index
Nippon India Nifty Bank Index Fund Reg (G),Equity: Index
Navi Nifty Bank Index Fund Reg (G),Equity: Index
Motilal Oswal Nifty Bank Index Fund (G),Equity: Index
Axis Nifty Bank Index Fund Reg (G),Equity: Index
Motilal Oswal Nifty Capital Market Index Fund Reg (G),Equity: Index
Bandhan Nifty Bank Index Fund Reg (G),Equity: Index
Tata Nifty Capital Markets Index Fund Reg (G),Equity: Index
Nippon India Nifty Auto Index Fund Reg (G),Equity: Index
ICICI Pru Nifty Auto Index Fund Reg (G),Equity: Index
Tata Nifty Auto Index Fund Reg (G),Equity: Index
Motilal Oswal BSE Financials ex Bank 30 Index Fund Reg (G),Equity: Index
Tata Nifty Financial Services Index Fund Reg (G),Equity: Index
UTI Nifty Private Bank Index Fund Reg (G),Equity: Index
SBI Nifty Bank Index Fund Reg (G),Equity: Index
Motilal Oswal Nifty India Defence Index Fund Reg (G),Equity: Index
UTI Nifty 500 Value 50 Index Fund Reg (G),Equity: Index
Bandhan Nifty 500 Value 50 Index Fund Reg (G),Equity: Index
Aditya Birla SL Nifty India Defence Index Fund Reg (G),Equity: Index
DSP BSE Sensex Next 30 Index Fund Reg (G),Equity: Index
Kotak BSE PSU Index Fund Reg (G),Equity: Index
HDFC NIFTY 50 Equal weight Index Fund (G),Equity: Index
UTI NIFTY 50 Equal Weight Index Fund Reg (G),Equity: Index
DSP Nifty 50 Equal Weight Index Fund Reg (G),Equity: Index
ICICI Pru Nifty50 Equal Weight Index Fund Reg (G),Equity: Index
SBI Nifty50 Equal Weight Index Fund Reg (G),Equity: Index
Aditya Birla SL Nifty 50 Equal Weight Index Fund Reg (G),Equity: Index
Kotak Nifty 50 Equal Weight Index Fund Reg (G),Equity: Index
Navi Nifty India Manufacturing Index Fund Reg (G),Equity: Index
UTI Nifty 50 Index Fund (G),Equity: Index
Navi Nifty 50 Index Fund Reg (G),Equity: Index
DSP Nifty 50 Index Fund Reg (G),Equity: Index
Kotak Nifty 50 Index Fund Reg (G),Equity: Index
HDFC Nifty 50 Index Fund (G),Equity: Index
ICICI Pru Nifty 50 Index Fund Reg (G),Equity: Index
HSBC Nifty 50 Index Fund Reg (G),Equity: Index
Aditya Birla SL Nifty 50 Index Fund Reg (G),Equity: Index
Nippon India Index Fund Nifty 50 Plan (G),Equity: Index
SBI Nifty Index Fund Reg (G),Equity: Index
Axis Nifty 50 Index Fund Reg (G),Equity: Index
ICICI Pru BHARAT 22 FOF,Equity: Index
Franklin India NSE Nifty 50 Index Fund (G),Equity: Index
Motilal Oswal Nifty 50 Index Fund Reg (G),Equity: Index
Edelweiss Nifty 50 Index Fund Reg (G),Equity: Index
Bandhan Nifty 50 Index Fund Reg (G),Equity: Index
Tata Nifty 50 Index Fund Regular Plan,Equity: Index
Baroda BNP Paribas NIFTY 50 Index Fund Reg (G),Equity: Index
Mirae Asset Nifty 50 Index Fund Reg (G),Equity: Index
Taurus Nifty 50 Index Fund (G),Equity: Index
Axis Nifty Midcap 50 Index Fund Reg (G),Equity: Index
LIC MF Nifty 50 Index Fund (G),Equity: Index
Kotak Nifty Midcap 50 Index Fund Reg (G),Equity: Index
Bandhan Nifty 100 Index Fund Reg (G),Equity: Index
HDFC NIFTY 100 Index Fund (G),Equity: Index
UTI Sensex Index Fund Reg (G),Equity: Index
ICICI Pru BSE Sensex Index Fund Reg (G),Equity: Index
HDFC BSE Sensex Index Fund,Equity: Index
Axis Nifty 100 Index Fund (G),Equity: Index
Nippon India Index Fund BSE Sensex Plan (G),Equity: Index
SBI S&P BSE Sensex Index Fund Reg (G),Equity: Index
Axis BSE Sensex Index Fund Reg (G),Equity: Index
TATA BSE Sensex Index Fund Regular Plan,Equity: Index
HDFC Nifty 100 Equal Weight Index Fund (G),Equity: Index
ICICI Pru Nifty 100 Low Vol 30 E T F FOF Reg (G),Equity: Index
Navi S&P BSE Sensex Index Fund Reg (G),Equity: Index
HDFC NIFTY100 Low Volatility 30 Index Fund Reg (G),Equity: Index
Sundaram Nifty 100 Equal Weight Fund Reg (G),Equity: Index
Kotak NIFTY 100 Low Volatility 30 Index Fund Reg (G),Equity: Index
Kotak Nifty 100 Equal Weight Index Fund Reg (G),Equity: Index
Bandhan Nifty100 Low Volatility 30 Index Fund Reg (G),Equity: Index
LIC MF BSE Sensex Index Fund (G),Equity: Index
SBI Nifty India Consumption Index Fund Reg (G),Equity: Index
ICICI Pru Nifty LargeMidcap 250 Index Fund Reg (G),Equity: Index
Tata BSE Select Business Groups Index Fund Reg (G),Equity: Index
Edelweiss NIFTY Large Mid Cap 250 Index Fund Reg (G),Equity: Index
Mirae Asset Nifty LargeMidcap 250 Index Fund Reg (G),Equity: Index
Motilal Oswal Nifty 500 Index Fund (G),Equity: Index
SBI Nifty 500 Index Fund Reg (G),Equity: Index
Axis Nifty 500 Index Fund Reg (G),Equity: Index
Edelweiss MSCI India Domestic & World Healthcare 45 Index Fund Reg (G),Equity: Index
HDFC BSE 500 Index Fund Reg (G),Equity: Index
ICICI Pru Nifty 500 Index Fund Reg (G),Equity: Index
ICICI Pru BSE 500 E T F FOF Reg (G),Equity: Index
Edelweiss Nifty 100 Quality 30 Index Fund Reg (G),Equity: Index
Tata Nifty500 Multicap India Manufacturing 50:30:20 Index Fund Reg (G),Equity: Index
Motilal Oswal BSE Quality Index Fund Reg (G),Equity: Index
UTI S&P BSE Low Volatility Index Fund Reg (G),Equity: Index
DSP Nifty Next 50 Index Fund Reg (G),Equity: Index
Mirae Asset Nifty Total Market Index Fund Reg (G),Equity: Index
Groww Nifty Total Market Index Fund Reg (G),Equity: Index
Nippon India Nifty Next 50 Junior BeES FoF (G),Equity: Index
Motilal Oswal BSE Low Volatility Index Fund Reg (G),Equity: Index
Bandhan Nifty Total Market Index Fund Reg (G),Equity: Index
Nippon India Nifty Midcap 150 Index Fund Reg (G),Equity: Index
SBI Nifty Midcap 150 Index Fund Reg (G),Equity: Index
HDFC NIFTY next 50 Index Fund (G),Equity: Index
SBI Nifty Next 50 Index Fund Reg (G),Equity: Index
UTI Nifty Next 50 Index Fund (G),Equity: Index
HDFC NIFTY Midcap 150 Index Fund Reg (G),Equity: Index
ICICI Pru Nifty Next 50 Index Fund Reg (G),Equity: Index
Motilal Oswal Nifty Midcap 150 Index Fund Reg (G),Equity: Index
Kotak Nifty Next 50 Index Fund Reg (G),Equity: Index
ICICI Pru Nifty Midcap 150 Index Fund (G),Equity: Index
LIC MF Nifty Next 50 Index Fund (G),Equity: Index
UTI Nifty Midcap 150 Index Fund Reg (G),Equity: Index
Aditya Birla SL Nifty Midcap 150 Index Fund Reg (G),Equity: Index
HSBC Nifty Next 50 Index Fund Reg (G),Equity: Index
Edelweiss Nifty Next 50 Index Fund Reg (G),Equity: Index
Aditya Birla SL Nifty Next 50 Index Fund Reg (G),Equity: Index
Baroda BNP Paribas Nifty Midcap 150 Index Fund Reg (G),Equity: Index
Navi Nifty Next 50 Index Fund Reg (G),Equity: Index
Motilal Oswal Nifty Next 50 Index Fund Reg (G),Equity: Index
Axis Nifty Next 50 Index Fund Reg (G),Equity: Index
Navi Nifty Midcap 150 Index Fund Reg (G),Equity: Index
Bandhan Nifty Midcap 150 Index Fund Reg (G),Equity: Index
DSP Nifty Top 10 Equal Weight Index Fund Reg (G),Equity: Index
HDFC Nifty500 Multicap 50:25:25 Index Fund Reg (G),Equity: Index
UTI Nifty200 Quality 30 Index Fund Reg (G),Equity: Index
Bandhan Nifty 200 Quality 30 Index Fund Reg (G),Equity: Index
Kotak Nifty 200 Momentum 30 Index Fund Reg (G),Equity: Index
UTI Nifty200 Momentum 30 Index Fund (G),Equity: Index
ICICI Pru Nifty Alpha Low Vol 30 E T F FOF (G),Equity: Index
Mirae Asset Nifty India New Age Consumption E T F FoF Reg (G),Equity: Index
Tata Nifty500 Multicap Infrastructure 50:30:20 Index Fund Reg (G),Equity: Index
HDFC NIFTY200 Momentum 30 Index Fund Reg (G),Equity: Index
UTI Nifty Alpha Low-Volatility 30 Index Fund Reg (G),Equity: Index
Nippon India Nifty Alpha Low Volatility 30 Index Fund Reg (G),Equity: Index
ICICI Pru Nifty 200 Momentum 30 Index Fund Reg (G),Equity: Index
ICICI Pru Nifty50 Value 20 Index Fund Reg (G),Equity: Index
Edelweiss Nifty Alpha Low Volatility 30 Index Fund Reg (G),Equity: Index
Nippon India Nifty 50 Value 20 Index Fund Reg (G),Equity: Index
Bandhan Nifty200 Momentum 30 Index Fund Reg (G),Equity: Index
Motilal Oswal Nifty 200 Momentum 30 Index Fund Reg (G),Equity: Index
HDFC Nifty India Digital Index Fund Reg (G),Equity: Index
Tata Nifty200 Alpha 30 Index Reg (G),Equity: Index
Kotak Nifty Midcap 150 Momentum 50 Index Reg (G),Equity: Index
Tata Nifty Midcap 150 Momentum 50 Index Fund Reg (G),Equity: Index
Edelweiss Nifty Midcap150 Momentum 50 Index Fund Reg (G),Equity: Index
Groww Nifty Non-Cyclical Consumer Index Fund Reg (G),Equity: Index
Motilal Oswal Nifty MidSmall Healthcare Index Fund Reg (G),Equity: Index
Tata Nifty MidSmall Healthcare Index Fund Reg (G),Equity: Index
UTI Nifty Midsmallcap 400 Momentum Quality 100 Index Fund (G),Equity: Index
UTI Nifty India Manufacturing Index Fund (G),Equity: Index
Axis Nifty500 Momentum 50 Index Fund Reg (G),Equity: Index
HDFC Nifty100 Quality 30 Index Fund (G),Equity: Index
Kotak BSE Sensex Index Fund (G),Equity: Index
SBI Nifty IT Index Fund (G),Equity: Index
Bandhan Nifty Next 50 Index Fund Reg (G),Equity: Index
Angel One Nifty Total Market Index Fund Reg (G),Equity: Index
DSP Nifty Private Bank Index Fund (G),Equity: Index
Navi Nifty Smallcap250 Momentum Quality 100 Index Fund Reg (G),Equity: Index
Kotak Nifty Commodities Index Fund Reg (G),Equity: Index
Mirae Asset BSE 200 Equal Weight E T F FoF Reg (G),Equity: Index
Mirae Asset BSE Select IPO E T F FoF Reg (G),Equity: Index
HDFC Nifty Top 20 Equal Weight Index Fund Reg (G),Equity: Index
Kotak Nifty Midcap 150 Index Fund Reg (G),Equity: Index
SBI BSE PSU Bank Index Fund (G),Equity: Index
Tata BSE Quality Index Fund Reg (G),Equity: Index
Kotak Nifty Top 10 Equal Weight Index Fund Reg (G),Equity: Index
Nippon India Nifty 500 Quality 50 Index Fund Reg (G),Equity: Index
Nippon India Nifty 500 Low Volatility 50 Index Fund Reg (G),Equity: Index
Bajaj Finserv Nifty Next 50 Index Fund (G),Equity: Index
Edelweiss BSE Internet Economy Index Fund (G),Equity: Index
Bajaj Finserv Nifty 50 Index Fund (G),Equity: Index
Angel One Nifty 50 Index Fund Reg (G),Equity: Index
ICICI Pru Nifty 200 Quality 30 Index Fund Reg (G),Equity: Index
SBI Nifty200 Quality 30 Index Fund Reg (G),Equity: Index
DSP Nifty Healthcare Index Fund Reg (G),Equity: Index
DSP Nifty IT Index Fund Reg (G),Equity: Index
Tata Nifty Midcap 150 Index Fund Reg (G),Equity: Index
ICICI Pru Nifty Top 15 Equal Weight Index Fund (G),Equity: Index
Motilal Oswal BSE 1000 Index Fund (G),Equity: Index
Kotak Nifty 200 Quality 30 Index Fund (G),Equity: Index
Groww Nifty 50 Index Reg (G),Equity: Index
Aditya Birla SL BSE 500 Momentum 50 Index Fund (G),Equity: Index
Aditya Birla SL BSE 500 Quality 50 Index Fund (G),Equity: Index
Kotak Nifty Alpha 50 Index Fund Reg (G),Equity: Index
Groww Nifty Next 50 Index Fund (G),Equity: Index
Groww Nifty Next 50 Index Fund IDCW,Equity: Index
Nippon India Nifty India Manufacturing Index Fund (G),Equity: Index
DSP Nifty500 Flexicap Quality 30 Index Fund (G),Equity: Index
Axis Nifty500 Quality 50 Index Fund (G),Equity: Index
Bandhan BSE India Sector Leaders Index Fund Reg (G),Equity: Index
Tata Nifty Next 50 Index Fund Reg (G),Equity: Index
Groww Nifty Midcap 150 Index Fund (G),Equity: Index
HDFC BSE India Sector Leaders Index Fund (G),Equity: Index
Navi Nifty MidSmallcap 400 Index (G),Equity: Index
